,name,country,event,date_of_violation,substance,sanction,references,flagged
24,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
25,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
26,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
27,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
28,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
29,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
30,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
31,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
32,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
33,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
34,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
35,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
36,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
37,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
38,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
39,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
40,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
41,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
42,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
43,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
44,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
45,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
46,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
47,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
48,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
49,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
50,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
51,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
52,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
53,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
54,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
55,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
56,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
57,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
58,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
59,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
60,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
61,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
62,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
63,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
64,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
65,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
66,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
67,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
68,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
69,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
70,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
71,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
72,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
73,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
74,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
75,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
76,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
77,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
78,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
79,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
80,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
81,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
82,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
83,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
84,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
85,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
86,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
87,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
88,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
89,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
90,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
91,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
92,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
93,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
94,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
95,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
96,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
97,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
98,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
99,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
100,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
101,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
102,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
103,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
104,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
105,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
106,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
107,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
108,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
109,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
110,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
111,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
112,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
113,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
114,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
115,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
116,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
117,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
118,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
119,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
120,Ahmed Baday, Morocco,Long distance,2010,Biological passport anomalies,2 years,[13][100][101],1
121,Ndiss Kaba Badji, Senegal,"Long jump, triple jump",2005,Androstenedione,2 years,[66],1
122,Oleksandr Bagach, Soviet Union Ukraine,Shot put,1989  1997,Steroids  Ephedrine,2 years  Public warning and disqualification,[102][103] (in German)[13][104][105][106],1
123,José Alessandro Bagio, Brazil,Race walking,2010,19-Norandrosterone,2 years,[10][107],1
124,Amina Bakhit, Sudan,Middle distance,2009,Norandrosterone,2 years,[36][37],1
125,Sergey Bakulin, Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months,[108][109],1
126,Živilė Balčiūnaitė, Lithuania,Long distance,2010,Testosterone,2 years,[110][111],1
127,Michal Balner, Czech Republic,Pole vault,2010,Cannabis,1 month,[32],1
128,Onalenna Baloyi, Botswana,Middle distance,2010,Methylhexanamine,2 years,[32][112],1
129,Yuliya Balykina, Belarus,Sprinting,2013,Drostanolone,2 years,[30][113],1
130,Falk Balzer, Germany,Hurdling,2001,Nandrolone,2 years,[114][115],1
131,Konstadinos Baniotis, Greece,High jump,2013,Furosemide,Public warning,[116][117],1
132,Jarrod Bannister, Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months,[76][118][119],1
133,Kelly-Ann Baptiste, Trinidad and Tobago,Sprinting,,,2 years,[120][121],1
134,Shawnacy Barber, Canada,Pole vault,2016,Cocaine,Public warning,[122][123],1
135,Roberto Barbi, Italy,Marathon,1996  20012008,"Ephedrine EPO EPO, Ephedrine","3 months  4 years, reduced to 25 months  Life ban",[13][37][79][124][125][126],1
136,Roxana Bârcă, Romania,Long distance running,2013,Methasterone,2 years,[34][113],1
137,Randy Barnes, United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months  Life ban,[127][128][129],1
138,Yarelys Barrios, Cuba,Discus throw,2008,Acetazolamide,,[130],1
139,Bruno de Barros, Brazil,Sprinting,2009,EPO,2 years,[36][37][131],1
140,Elias Bastos, Brazil,Cross country running,2014,Methyltestosterone,2 years,[69][70][132],1
141,Giuliano Battocletti, Italy,Long distance running,1999,Nandrolone,16 months,[133],1
142,Dieter Baumann, Germany,Long distance,1999,Nandrolone,2 years,[134],1
143,Julie Baumann, Canada,Hurdling,1989,Stanozolol,2 years,[1][135],1
144,Vadim Bavikin, Israel,Javelin throw,1994,Steroids,4 years,[136],1
145,Chantal Beaugeant, France,Heptathlon,1989,,2 years,[1][137][138][139],1
146,James Beckford, Jamaica,Long jump,1997,Ephedrine,3 months,[140],1
147,Violeta Beclea, Romania,Middle distance,1995,Steroids,4 years,[45][141],1
148,Chaltu Beji, Azerbaijan,Steeplechase,2015,Ostarine,4 years,[142][143][144],1
149,Alemitu Bekele, Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months,[13][47][145],1
150,Mimi Belete, Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification,[32][146],1
151,Irina Belova, Russia,Heptathlon,1993,Testosterone,4 years,[45][147][148],1
152,Kenta Bell, United States,Triple jump,2007,Methylprednisolone,3 months,[149][150][151],1
153,Awatef Ben Hassine, Tunisia,Sprinting,2004,Norandrosterone,2 years,[98],1
154,Yassine Bensghir, Morocco,Middle distance,2014,Biological passport,4 years,[17][152],1
155,Yahya Berrabah, Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV),[37][153][154],1
156,Gwen Berry, United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months,[88][155],1
157,Michael Berry, United States,Sprinting,2010,Cannabis,3 months,[32][156][157][158],1
158,Mariya Bespalova, Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[56][159],1
159,María Cristina Betancourt, Cuba,Discus throw,1983,,Life ban,[2][160],1
160,Kipyegon Bett, Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years,[161],1
161,Antonella Bevilacqua, Italy,High jump,1996,"Ephedrine, pseudoephedrine",,[162],1
162,Uwe Beyer, West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—,[163] (in German)[164],1
163,Alemayehu Bezabeh, Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years,[10][97][165],1
164,Rajendra Bahadur Bhandari,   Nepal,Long distance,2006,Norandrosterone,2 years,[166],1
165,Quentin Bigot, France,Hammer throw,2014,Methandienone and Stanozolol,2 years,[167][168][169],1
166,Madina Biktagirova, Unified Team,Long distance,1992,Norephedrine,,[170],1
167,Yuriy Bilonoh, Ukraine,Shot put,2004 (Sample retested 2012),Oxandrolone,3 years,[13][171][172][173],1
168,Svetlana Biryukova, Russia,Long jump,2014,SARMs,2-year ban,[174][175],1
169,Dominique Blake, Jamaica,Sprinting,2006 2012,EphedrineMethylhexanamine,9 months 4 years and 6 months (Reduced from 6 years),[76][176][119][177][178][179],1
170,Yohan Blake, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
171,José Luis Blanco, Spain,Middle distance,2010,EPO,2 years,[180],1
172,Zhanna Block, Ukraine,Sprinting,2002,BALCO scandal,2 years,[13][79][153],1
173,Lyudmyla Blonska, Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years  Life ban,[181][182][3][183],1
174,Petr Bogatyrev, Russia,Race walking,2011,Biological passport anomalies,2 years,[47][145],1
175,Ato Boldon, Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning,[74],1
176,Scott Boothby, United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years),[184][185][186],1
177,Valeriy Borchin, Russia,Race walking,20052009,Ephedrine  Biological passport anomalies,1 year  8 years,[187][108][109],1
178,Béranger-Aymard Bossé, Central African Republic,Sprinting,2016,Prednisolone,2 years,[16][17],1
179,Mihaela Botezan, Romania,Long distance,2007,Chlortalidone,2 years,[3][188][189],1
180,Chakir Boujattaoui, Morocco,Long-distance,2010,MIRCERA,2 years,[32][190],1
181,Brahim Boulami, Morocco,Steeplechace,2002,EPO,2 years,[191],1
182,Larbi Bouraada, Algeria,Decathlon,2012,Stanozolol,2 years,[30],1
183,Abderrahime Bouramdane, Morocco,Marathon,2011,Biological passport,2 years,[142][143][192],1
184,Zahra Bouras, Algeria,Middle-distance,2012,Stanozolol,2 years,[30],1
185,Sofiya Bozhanova, Bulgaria,Long/Triple jump,1994,Amphetamine,4 years,[193],1
186,Kevin Braunskill, United States,Sprinting,1994,Stanozolol,4 years,[194],1
187,Grit Breuer, Germany,Sprinting,1992,Clenbuterol,2 years,[195],1
188,Okkert Brits, South Africa,Pole vault,2003,Ephedrine,Public warning,[182][196],1
189,Damien Broothaerts, Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years),[10][197],1
190,Alicia Brown, Canada,Sprinting,2013,Hydrochlorothiazide,2 years,[69][198][199],1
191,Erik de Bruin, Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years,[200],1
192,Ricky Bruch, Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—,[201] (in Swedish),1
193,Yelyzaveta Bryzhina, Ukraine,Sprinting,2013,Drostanolone,2 years,[13][30][76],1
194,Aleksandr Bulanov, Russia,Shot put,2009,Methandienone,2 years,[36][37],1
195,Viktor Burayev, Russia,Race walking,2008,EPO,2 years,[3][202],1
196,Tamara Bykova, Soviet Union,High jump,1990,Ephedrine,3 months,[203][204],1
197,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
198,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
199,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
200,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
201,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
202,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
203,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
204,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
205,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
206,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
207,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
208,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
209,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
210,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
211,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
212,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
213,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
214,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
215,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
216,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
217,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
218,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
219,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
220,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
221,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
222,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
223,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
224,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
225,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
226,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
227,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
228,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
229,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
230,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
231,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
232,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
233,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
234,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
235,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
236,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
237,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
238,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
239,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
240,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
241,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
242,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
243,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
244,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
245,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
246,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
247,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
248,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
249,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
250,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
251,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
252,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
253,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
254,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
255,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
256,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
257,Ahmed Baday, Morocco,Long distance,2010,Biological passport anomalies,2 years,[13][100][101],1
258,Ndiss Kaba Badji, Senegal,"Long jump, triple jump",2005,Androstenedione,2 years,[66],1
259,Oleksandr Bagach, Soviet Union Ukraine,Shot put,1989  1997,Steroids  Ephedrine,2 years  Public warning and disqualification,[102][103] (in German)[13][104][105][106],1
260,José Alessandro Bagio, Brazil,Race walking,2010,19-Norandrosterone,2 years,[10][107],1
261,Amina Bakhit, Sudan,Middle distance,2009,Norandrosterone,2 years,[36][37],1
262,Sergey Bakulin, Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months,[108][109],1
263,Živilė Balčiūnaitė, Lithuania,Long distance,2010,Testosterone,2 years,[110][111],1
264,Michal Balner, Czech Republic,Pole vault,2010,Cannabis,1 month,[32],1
265,Onalenna Baloyi, Botswana,Middle distance,2010,Methylhexanamine,2 years,[32][112],1
266,Yuliya Balykina, Belarus,Sprinting,2013,Drostanolone,2 years,[30][113],1
267,Falk Balzer, Germany,Hurdling,2001,Nandrolone,2 years,[114][115],1
268,Konstadinos Baniotis, Greece,High jump,2013,Furosemide,Public warning,[116][117],1
269,Jarrod Bannister, Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months,[76][118][119],1
270,Kelly-Ann Baptiste, Trinidad and Tobago,Sprinting,,,2 years,[120][121],1
271,Shawnacy Barber, Canada,Pole vault,2016,Cocaine,Public warning,[122][123],1
272,Roberto Barbi, Italy,Marathon,1996  20012008,"Ephedrine EPO EPO, Ephedrine","3 months  4 years, reduced to 25 months  Life ban",[13][37][79][124][125][126],1
273,Roxana Bârcă, Romania,Long distance running,2013,Methasterone,2 years,[34][113],1
274,Randy Barnes, United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months  Life ban,[127][128][129],1
275,Yarelys Barrios, Cuba,Discus throw,2008,Acetazolamide,,[130],1
276,Bruno de Barros, Brazil,Sprinting,2009,EPO,2 years,[36][37][131],1
277,Elias Bastos, Brazil,Cross country running,2014,Methyltestosterone,2 years,[69][70][132],1
278,Giuliano Battocletti, Italy,Long distance running,1999,Nandrolone,16 months,[133],1
279,Dieter Baumann, Germany,Long distance,1999,Nandrolone,2 years,[134],1
280,Julie Baumann, Canada,Hurdling,1989,Stanozolol,2 years,[1][135],1
281,Vadim Bavikin, Israel,Javelin throw,1994,Steroids,4 years,[136],1
282,Chantal Beaugeant, France,Heptathlon,1989,,2 years,[1][137][138][139],1
283,James Beckford, Jamaica,Long jump,1997,Ephedrine,3 months,[140],1
284,Violeta Beclea, Romania,Middle distance,1995,Steroids,4 years,[45][141],1
285,Chaltu Beji, Azerbaijan,Steeplechase,2015,Ostarine,4 years,[142][143][144],1
286,Alemitu Bekele, Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months,[13][47][145],1
287,Mimi Belete, Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification,[32][146],1
288,Irina Belova, Russia,Heptathlon,1993,Testosterone,4 years,[45][147][148],1
289,Kenta Bell, United States,Triple jump,2007,Methylprednisolone,3 months,[149][150][151],1
